,ID,Name,Search Alias,Category,Latitude,Longitude,Address,City,State,Zip Code
1234,3Gt8nRe-A5-KruyYLUwjiw,Old Faithful Geyser of California,landmarks,Landmarks & Historical Buildings,38.5968746191742,-122.602336406708,1299 Tubbs Ln,Calistoga,CA,94515
1235,kWcdJjZboapxjCHnQEMnjw,Hammerfriar,framing,Framing,38.6084830015898,-122.869000285864,132 Mill St,Healdsburg,CA,95448
1236,LGx6xqT8nBwa0JNrxB6MYg,James French Studios,artrestoration,Art Restoration,38.822623,-122.715665,16400 Golf Rd,Cobb,CA,95426
1237,vIs_X21kHvUgWakHH_gSRA,1881 Napa,winetastingroom,Wine Tasting Room,38.437341,-122.402932,7856 St Helena Hwy,Oakville,CA,94562
1238,yXdLYg8044peggke_jW8-w,Ripley Museum Church of One Tree,museums,Museums,38.43598,-122.71401,492 Sonoma Ave,Santa Rosa,CA,95401
1239,lMSkdZWp2UaAnwvNbP686g,Luther Burbank Home & Gardens,parks,Parks,38.4361035,-122.7120613,204 Santa Rosa Ave,Santa Rosa,CA,95404
1240,leTXPLEWxdS1TreBiT6vVA,Hopscotch Gifts & Gallery,galleries,Art Galleries,38.610459,-122.868889,126 Matheson,Healdsburg,CA,95448
1241,QRpkcbd9RVxPYPzOix9g9w,Snoopy's Home Ice - Redwood Empire Ice Arena,skatingrinks,Skating Rinks,38.46069,-122.73401,1667 W Steele Ln,Santa Rosa,CA,95403
1242,Mf19ig3FXCt2a7qJ9kVPrg,J Vineyards & Winery,wineries,Wineries,38.5730574965052,-122.842665346288,11447 Old Redwood Hwy,Healdsburg,CA,95448
1243,HIgf5Dr-DDd3Cgddunbbbg,Castello di Amorosa,wineries,Wineries,38.5582001878288,-122.543177604675,4045 St Helena Hwy,Calistoga,CA,94515
1244,6zcB6zokx3LdfaHPIc8s_Q,Grgich Hills Estate,wineries,Wineries,38.465419,-122.428989,1829 St Helena Hwy,Rutherford,CA,94573
1245,ZOzf-tg-M99hpMKJCfZEWQ,Virginia Dare Winery,wineries,Wineries,38.715494,-122.923081,22281 Chianti Rd,Geyserville,CA,95441
1246,9hPBXzNpGYvxaI0lDJrJ6w,Inglenook,wineries,Wineries,38.458392,-122.423796,1991 St Helena Hwy,Rutherford,CA,94573
1247,mEVcehgfQARTqZaXCjkRQQ,Petrified Forest,historicaltours,Historical Tours,38.5549757960052,-122.638565586462,4100 Petrified Forest Rd,Calistoga,CA,94515
1248,gtIpq61F-xq9oLIrdRbIVg,Calistoga Police Department,publicservicesgovt,Public Services & Government,38.5786166,-122.5794102,1235 Washington St,Calistoga,CA,94515
1249,LHl3LAbiygf6liCzxc0f1A,Lee Youngman Galleries,galleries,Art Galleries,38.5783123,-122.5791399,1360 Lincoln Ave,Calistoga,CA,94515
1250,BrRAMuIrwy21ITCCjMn8kw,Rodney Strong Vineyards,wineries,Wineries,38.57331,-122.84554,11455 Old Redwood Hwy,Healdsburg,CA,95448
1251,0qmDsQ9c225Zx-ti1G1P4w,Del Dotto Estate Winery & Caves,wineries,Wineries,38.479849,-122.442467,1445 St Helena Hwy,St Helena,CA,94574
1252,6lR4JOXI2PnCrlrw8M8_UQ,Seghesio Family Vineyards,wineries,Wineries,38.6179262438298,-122.875266366274,700 Grove St,Healdsburg,CA,95448
1253,dZnCYiqRQnZK4C9jjnghgA,DeLoach Vineyards,wineries,Wineries,38.462558,-122.819998,1791 Olivet Rd,Santa Rosa,CA,95401
1254,0wRnC-lIzfAxIdco05QA_A,Chateau Montelena Winery,wineries,Wineries,38.602532,-122.597735,1429 Tubbs Ln,Calistoga,CA,94515
1255,hmx0HoQOwwZJGHfks7ucpA,Bella Vineyards & Wine Caves,wineries,Wineries,38.70595,-122.98077,9711 W Dry Creek Rd,Healdsburg,CA,95448
1256,DdRz4ffYWDAyTKHx4ByvTA,Storybook Mountain Vineyards,wineries,Wineries,38.598526,-122.641891,3835 State Hwy 128,Calistoga,CA,94515
1257,kG9u3YOB_3Sw2HJGozml0Q,Whistlestop Antiques,antiques,Antiques,38.4376678466797,-122.71949005127,130 4th St,Santa Rosa,CA,95401
1258,ZnuHjcCCRMtWiOT_RbFgDw,George & Elsie Wood Public Library,libraries,Libraries,38.5078315734863,-122.469665527344,1492 Library Ln,Saint Helena,CA,94574
1259,lHiO_Z-oTnoMkEuNZFHQcg,Frame of Mind,framing,Framing,38.4258260887754,-122.848687425934,2000 Gravenstein Hwy N,Sebastopol,CA,95472
1260,e4j5eC0ieQA2FCBtuW6AsA,Napa City Ghosts & Legends Walking Tour,walkingtours,Walking Tours,38.2973709106445,-122.290466308594,,Napa,CA,94559
1261,6rSkwJR2LfUIanb_e5hf6Q,Beringer Vineyards,wineries,Wineries,38.5105483320806,-122.479905007977,2000 Main St,St. Helena,CA,94574
1262,SYcRbsPW3xn1LJ2y2mb3QQ,Spicy Vines,wineries,Wineries,38.6133944,-122.8717254,441 Healdsburg Ave,Healdsburg,CA,95448
1263,SFtHsyYvwDWIMaNWEOO7_g,Sterling Vineyards,wineries,Wineries,38.567015815702,-122.549612756667,1111 Dunaweal Ln,Calistoga,CA,94515
