Zipcode,Year,Life Expectancy
94129,2013,84.34
94947,2013,82.12
94513,2013,81.09
95117,2013,81.70
95008,2013,81.88
94108,2013,83.16
95111,2013,82.43
94603,2013,74.76
95421,2013,82.92
94805,2013,80.73
94044,2013,81.36
94576,2013,84.94
95113,2013,81.52
95076,2013,81.07
94509,2013,77.30
94550,2013,81.33
94563,2013,86.38
94588,2013,83.03
94555,2013,83.17
94531,2013,79.02
94705,2013,85.15
94110,2013,81.56
94038,2013,81.36
94117,2013,82.75
94027,2013,85.04
95123,2013,82.77
95140,2013,82.45
94087,2013,84.37
94923,2013,82.92
94061,2013,83.13
94613,2013,80.31
94506,2013,85.85
94503,2013,79.72
94971,2013,82.92
94941,2013,83.49
94566,2013,83.76
94938,2013,85.98
94610,2013,81.69
94030,2013,83.41
94040,2013,84.01
95124,2013,81.44
94957,2013,83.36
94536,2013,82.30
94517,2013,82.52
95377,2013,81.33
94598,2013,84.46
94066,2013,81.69
94535,2013,79.40
95409,2013,82.10
95130,2013,83.21
95430,2013,82.92
94804,2013,77.93
94556,2013,85.14
95129,2013,84.74
94950,2013,84.09
94583,2013,83.37
94116,2013,81.52
94929,2013,82.92
94572,2013,82.09
95462,2013,78.81
94954,2013,81.22
94131,2013,84.49
95134,2013,81.67
94577,2013,81.02
94964,2013,82.80
94512,2013,79.23
94020,2013,83.03
94949,2013,83.20
94601,2013,78.74
94538,2013,81.70
